origin_date,target_date,horizon_days,category,area,lightgbm,seasonal_naive,weekday_mean_4w,model_training_cutoff
2026-08-31,2026-09-01,1,Blocked Driveway,BROOKLYN,169.3879856255177,179.0,163.5,2026-08-31
2026-08-31,2026-09-02,2,Blocked Driveway,BROOKLYN,170.92934762246816,167.0,162.25,2026-08-31
2026-08-31,2026-09-03,3,Blocked Driveway,BROOKLYN,171.29037760331158,172.0,173.5,2026-08-31
2026-08-31,2026-09-04,4,Blocked Driveway,BROOKLYN,168.2243698551654,190.0,167.0,2026-08-31
2026-08-31,2026-09-05,5,Blocked Driveway,BROOKLYN,164.97285560884907,160.0,145.5,2026-08-31
2026-08-31,2026-09-06,6,Blocked Driveway,BROOKLYN,171.363178461332,179.0,166.25,2026-08-31
2026-08-31,2026-09-07,7,Blocked Driveway,BROOKLYN,177.25245732311257,208.0,186.0,2026-08-31
2026-08-31,2026-09-01,1,Illegal Parking,BROOKLYN,619.1895423151226,737.0,680.0,2026-08-31
2026-08-31,2026-09-02,2,Illegal Parking,BROOKLYN,606.5465377512307,598.0,628.25,2026-08-31
2026-08-31,2026-09-03,3,Illegal Parking,BROOKLYN,596.3935561127461,599.0,625.75,2026-08-31
2026-08-31,2026-09-04,4,Illegal Parking,BROOKLYN,577.1847661225489,641.0,647.0,2026-08-31
2026-08-31,2026-09-05,5,Illegal Parking,BROOKLYN,563.0047084463539,614.0,588.75,2026-08-31
2026-08-31,2026-09-06,6,Illegal Parking,BROOKLYN,567.2451360361661,612.0,598.5,2026-08-31
2026-08-31,2026-09-07,7,Illegal Parking,BROOKLYN,640.6530632085545,695.0,670.25,2026-08-31
2026-08-31,2026-09-01,1,Noise - Residential,BROOKLYN,248.22296065400496,248.0,246.25,2026-08-31
2026-08-31,2026-09-02,2,Noise - Residential,BROOKLYN,247.95229812803854,286.0,249.5,2026-08-31
2026-08-31,2026-09-03,3,Noise - Residential,BROOKLYN,246.12066921587677,206.0,236.0,2026-08-31
2026-08-31,2026-09-04,4,Noise - Residential,BROOKLYN,286.8676139000552,370.0,302.25,2026-08-31
2026-08-31,2026-09-05,5,Noise - Residential,BROOKLYN,411.6477693085622,550.0,505.5,2026-08-31
2026-08-31,2026-09-06,6,Noise - Residential,BROOKLYN,382.08961765324085,481.0,461.25,2026-08-31
2026-08-31,2026-09-07,7,Noise - Residential,BROOKLYN,242.80786481930465,244.0,255.0,2026-08-31
