demand_date,category,area,request_count,is_complete
2026-05-01,Noise - Residential,BROOKLYN,325,True
2026-05-01,Illegal Parking,BROOKLYN,789,True
2026-05-01,Blocked Driveway,BROOKLYN,166,True
2026-05-02,Noise - Residential,BROOKLYN,553,True
2026-05-02,Illegal Parking,BROOKLYN,654,True
2026-05-02,Blocked Driveway,BROOKLYN,154,True
2026-05-03,Noise - Residential,BROOKLYN,417,True
2026-05-03,Illegal Parking,BROOKLYN,666,True
2026-05-03,Blocked Driveway,BROOKLYN,173,True
2026-05-04,Noise - Residential,BROOKLYN,348,True
2026-05-04,Illegal Parking,BROOKLYN,814,True
2026-05-04,Blocked Driveway,BROOKLYN,217,True
2026-05-05,Noise - Residential,BROOKLYN,364,True
2026-05-05,Illegal Parking,BROOKLYN,806,True
2026-05-05,Blocked Driveway,BROOKLYN,187,True
2026-05-06,Noise - Residential,BROOKLYN,225,True
2026-05-06,Illegal Parking,BROOKLYN,683,True
2026-05-06,Blocked Driveway,BROOKLYN,180,True
2026-05-07,Noise - Residential,BROOKLYN,267,True
2026-05-07,Illegal Parking,BROOKLYN,828,True
2026-05-07,Blocked Driveway,BROOKLYN,187,True
2026-05-08,Noise - Residential,BROOKLYN,300,True
2026-05-08,Illegal Parking,BROOKLYN,720,True
2026-05-08,Blocked Driveway,BROOKLYN,200,True
2026-05-09,Noise - Residential,BROOKLYN,445,True
2026-05-09,Illegal Parking,BROOKLYN,680,True
2026-05-09,Blocked Driveway,BROOKLYN,178,True
2026-05-10,Noise - Residential,BROOKLYN,535,True
2026-05-10,Illegal Parking,BROOKLYN,698,True
2026-05-10,Blocked Driveway,BROOKLYN,175,True
2026-05-11,Noise - Residential,BROOKLYN,269,True
2026-05-11,Illegal Parking,BROOKLYN,769,True
2026-05-11,Blocked Driveway,BROOKLYN,226,True
2026-05-12,Noise - Residential,BROOKLYN,231,True
2026-05-12,Illegal Parking,BROOKLYN,766,True
2026-05-12,Blocked Driveway,BROOKLYN,213,True
2026-05-13,Noise - Residential,BROOKLYN,221,True
2026-05-13,Illegal Parking,BROOKLYN,739,True
2026-05-13,Blocked Driveway,BROOKLYN,211,True
2026-05-14,Noise - Residential,BROOKLYN,245,True
2026-05-14,Illegal Parking,BROOKLYN,696,True
2026-05-14,Blocked Driveway,BROOKLYN,212,True
2026-05-15,Noise - Residential,BROOKLYN,336,True
2026-05-15,Illegal Parking,BROOKLYN,747,True
2026-05-15,Blocked Driveway,BROOKLYN,212,True
2026-05-16,Noise - Residential,BROOKLYN,686,True
2026-05-16,Illegal Parking,BROOKLYN,644,True
2026-05-16,Blocked Driveway,BROOKLYN,169,True
2026-05-17,Noise - Residential,BROOKLYN,609,True
2026-05-17,Illegal Parking,BROOKLYN,767,True
2026-05-17,Blocked Driveway,BROOKLYN,186,True
2026-05-18,Noise - Residential,BROOKLYN,316,True
2026-05-18,Illegal Parking,BROOKLYN,696,True
2026-05-18,Blocked Driveway,BROOKLYN,207,True
2026-05-19,Noise - Residential,BROOKLYN,270,True
2026-05-19,Illegal Parking,BROOKLYN,787,True
2026-05-19,Blocked Driveway,BROOKLYN,228,True
2026-05-20,Noise - Residential,BROOKLYN,193,True
2026-05-20,Illegal Parking,BROOKLYN,682,True
2026-05-20,Blocked Driveway,BROOKLYN,238,True
2026-05-21,Noise - Residential,BROOKLYN,210,True
2026-05-21,Illegal Parking,BROOKLYN,759,True
2026-05-21,Blocked Driveway,BROOKLYN,221,True
2026-05-22,Noise - Residential,BROOKLYN,308,True
2026-05-22,Illegal Parking,BROOKLYN,632,True
2026-05-22,Blocked Driveway,BROOKLYN,165,True
2026-05-23,Noise - Residential,BROOKLYN,430,True
2026-05-23,Illegal Parking,BROOKLYN,432,True
2026-05-23,Blocked Driveway,BROOKLYN,117,True
2026-05-24,Noise - Residential,BROOKLYN,456,True
2026-05-24,Illegal Parking,BROOKLYN,484,True
2026-05-24,Blocked Driveway,BROOKLYN,167,True
2026-05-25,Noise - Residential,BROOKLYN,437,True
2026-05-25,Illegal Parking,BROOKLYN,628,True
2026-05-25,Blocked Driveway,BROOKLYN,201,True
2026-05-26,Noise - Residential,BROOKLYN,318,True
2026-05-26,Illegal Parking,BROOKLYN,805,True
2026-05-26,Blocked Driveway,BROOKLYN,281,True
2026-05-27,Noise - Residential,BROOKLYN,312,True
2026-05-27,Illegal Parking,BROOKLYN,736,True
2026-05-27,Blocked Driveway,BROOKLYN,197,True
2026-05-28,Noise - Residential,BROOKLYN,286,True
2026-05-28,Illegal Parking,BROOKLYN,706,True
